Name,Symbol,Industry Group,Industry
Reliance Industries,RELIANCE,Petroleum Products,Refineries & Marketing
Life Insurance,LICI,Insurance,Life Insurance
Rajesh Exports,RAJESHEXPO,Consumer Durables,"Gems, Jewellery And Watches"
I O C L,IOC,Petroleum Products,Refineries & Marketing
O N G C,ONGC,Oil,Oil Exploration & Production
SBI,SBIN,Banks,Public Sector Bank
B P C L,BPCL,Petroleum Products,Refineries & Marketing
H P C L,HINDPETRO,Petroleum Products,Refineries & Marketing
Tata Motors PVeh,TMPV,Automobiles,Passenger Cars & Utility Vehicles
HDFC Bank,HDFCBANK,Banks,Private Sector Bank
Larsen & Toubro,LT,Construction,Civil Construction
TCS,TCS,IT - Software,Computers - Software & Consulting
Hindalco Inds.,HINDALCO,Non - Ferrous Metals,Aluminium
Tata Steel,TATASTEEL,Ferrous Metals,Iron & Steel
Bharti Airtel,BHARTIARTL,Telecom - Services,Telecom - Cellular & Fixed line services
M & M,M&M,Automobiles,Passenger Cars & Utility Vehicles
Maruti Suzuki,MARUTI,Automobiles,Passenger Cars & Utility Vehicles
JSW Steel,JSWSTEEL,Ferrous Metals,Iron & Steel
Grasim Inds,GRASIM,Cement & Cement Products,Cement & Cement Products
ICICI Bank,ICICIBANK,Banks,Private Sector Bank
Coal India,COALINDIA,Consumable Fuels,Coal
Infosys,INFY,IT - Software,Computers - Software & Consulting
NTPC,NTPC,Power,Power Generation
Bajaj Finserv,BAJAJFINSV,Finance,Holding Company
GAIL (India),GAIL,Gas,Gas Transmission/Marketing
Bank of Baroda,BANKBARODA,Banks,Public Sector Bank
Samvardh. Mothe.,MOTHERSON,Auto Components,Auto Components & Equipments
Axis Bank,AXISBANK,Banks,Private Sector Bank
HCL Technologies,HCLTECH,IT - Software,Computers - Software & Consulting
Redington,REDINGTON,Commercial Services & Supplies,Trading & Distributors
Punjab Natl.Bank,PNB,Banks,Public Sector Bank
Adani Enterp.,ADANIENT,Metals & Minerals Trading,Trading - Minerals
Canara Bank,CANBK,Banks,Public Sector Bank
S A I L,SAIL,Ferrous Metals,Iron & Steel
Power Fin.Corpn.,PFC,Finance,Financial Institution
Titan Company,TITAN,Consumer Durables,"Gems, Jewellery And Watches"
Union Bank (I),UNIONBANK,Banks,Public Sector Bank
Tata Motors,TMCV,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
UltraTech Cem.,ULTRACEMCO,Cement & Cement Products,Cement & Cement Products
Vedanta,VEDL,Diversified Metals,Diversified Metals
Wipro,WIPRO,IT - Software,Computers - Software & Consulting
M R P L,MRPL,Petroleum Products,Refineries & Marketing
Interglobe Aviat,INDIGO,Transport Services,Airline
Bajaj Finance,BAJFINANCE,Finance,Non Banking Financial Company (NBFC)
AWL Agri Busine.,AWL,Agricultural Food & other Products,Edible Oil
HDFC Life Insur.,HDFCLIFE,Insurance,Life Insurance
Bank of India,BANKINDIA,Banks,Public Sector Bank
Hyundai Motor I,HYUNDAI,Automobiles,Passenger Cars & Utility Vehicles
UPL,UPL,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Bajaj Auto,BAJAJ-AUTO,Automobiles,2/3 Wheelers
Kotak Mah. Bank,KOTAKBANK,Banks,Private Sector Bank
ITC,ITC,Diversified FMCG,Diversified FMCG
Avenue Super.,DMART,Retailing,Diversified Retail
Indian Bank,INDIANB,Banks,Public Sector Bank
Eternal,ETERNAL,Retailing,E-Retail/ E-Commerce
C P C L,CHENNPETRO,Petroleum Products,Refineries & Marketing
Hind. Unilever,HINDUNILVR,Diversified FMCG,Diversified FMCG
Jindal Steel,JINDALSTEL,Ferrous Metals,Iron & Steel
TVS Holdings,TVSHLTD,Finance,Investment Company
Tech Mahindra,TECHM,IT - Software,Computers - Software & Consulting
TVS Motor Co.,TVSMOTOR,Automobiles,2/3 Wheelers
Tata Power Co.,TATAPOWER,Power,Integrated Power Utilities
Ashok Leyland,ASHOKLEY,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles
Sun Pharma.Inds.,SUNPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
REC Ltd,RECLTD,Finance,Financial Institution
Adani Power,ADANIPOWER,Power,Integrated Power Utilities
Hind.Aeronautics,HAL,Aerospace & Defense,Aerospace & Defense
Hindustan Zinc,HINDZINC,Non - Ferrous Metals,Zinc
Aditya Birla Cap,ABCAPITAL,Finance,Investment Company
Hero Motocorp,HEROMOTOCO,Automobiles,2/3 Wheelers
General Insuranc,GICRE,Insurance,General Insurance
New India Assura,NIACL,Insurance,General Insurance
Shriram Finance,SHRIRAMFIN,Finance,Non Banking Financial Company (NBFC)
B H E L,BHEL,Electrical Equipment,Heavy Electrical Equipment
Power Grid Corpn,POWERGRID,Power,Power - Transmission
Jindal Stain.,JSL,Ferrous Metals,Iron & Steel
Vodafone Idea,IDEA,Telecom - Services,Telecom - Cellular & Fixed line services
LTM,LTM,IT - Software,Computers - Software & Consulting
IndusInd Bank,INDUSINDBK,Banks,Private Sector Bank
Ambuja Cements,AMBUJACEM,Cement & Cement Products,Cement & Cement Products
Max Financial,MFSL,Insurance,Life Insurance
Adani Ports,ADANIPORTS,Transport Infrastructure,Port & Port services
IDFC First Bank,IDFCFIRSTB,Banks,Private Sector Bank
Dixon Technolog.,DIXON,Consumer Durables,Consumer Electronics
Patanjali Foods,PATANJALI,Agricultural Food & other Products,Edible Oil
Chola Financial,CHOLAHLDNG,Finance,Investment Company
EID Parry,EIDPARRY,Food Products,Other Food Products
Kalyan Jewellers,KALYANKJIL,Consumer Durables,"Gems, Jewellery And Watches"
Bharat Electron,BEL,Aerospace & Defense,Aerospace & Defense
Central Bank,CENTRALBK,Banks,Public Sector Bank
Petronet LNG,PETRONET,Gas,LPG/CNG/PNG/LNG Supplier
Oil India,OIL,Oil,Oil Exploration & Production
Muthoot Finance,MUTHOOTFIN,Finance,Non Banking Financial Company (NBFC)
Asian Paints,ASIANPAINT,Consumer Durables,Paints
Polycab India,POLYCAB,Industrial Products,Cables - Electricals
Aurobindo Pharma,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Abans Financial,AFSL,Finance,Holding Company
I O B,IOB,Banks,Public Sector Bank
Waaree Energies,WAAREEENER,Electrical Equipment,Other Electrical Equipment
Cholaman.Inv.&Fn,CHOLAFIN,Finance,Non Banking Financial Company (NBFC)
Tata Capital,TATACAP,Finance,Non Banking Financial Company (NBFC)
Indus Towers,INDUSTOWER,Telecom - Services,Telecom - Infrastructure
LG Electronics,LGEINDIA,Consumer Durables,Household Appliances
MRF,MRF,Auto Components,Tyres & Rubber Products
Federal Bank,FEDERALBNK,Banks,Private Sector Bank
IDBI Bank,IDBI,Banks,Private Sector Bank
Kalpataru Proj.,KPIL,Construction,Civil Construction
Bank of Maha,MAHABANK,Banks,Public Sector Bank
Godrej Industrie,GODREJIND,Diversified,Diversified
Yes Bank,YESBANK,Banks,Private Sector Bank
NMDC,NMDC,Minerals & Mining,Industrial Minerals
Zydus Lifesci.,ZYDUSLIFE,Pharmaceuticals & Biotechnology,Pharmaceuticals
Dr Reddy's Labs,DRREDDY,Pharmaceuticals & Biotechnology,Pharmaceuticals
Lupin,LUPIN,Pharmaceuticals & Biotechnology,Pharmaceuticals
Adani Energy Sol,ADANIENSOL,Power,Power Distribution
I R F C,IRFC,Finance,Financial Institution
Apollo Tyres,APOLLOTYRE,Auto Components,Tyres & Rubber Products
LIC Housing Fin.,LICHSGFIN,Finance,Housing Finance Company
ACC,ACC,Cement & Cement Products,Cement & Cement Products
Natl.Fertilizer,NFL,Fertilizers & Agrochemicals,Fertilizers
ICICI Lombard,ICICIGI,Insurance,General Insurance
Nestle India,NESTLEIND,Food Products,Packaged Foods
Havells India,HAVELLS,Consumer Durables,Consumer Electronics
UCO Bank,UCOBANK,Banks,Public Sector Bank
Apollo Hospitals,APOLLOHOSP,Healthcare Services,Hospital
Varun Beverages,VBL,Beverages,Other Beverages
Tata Comm,TATACOMM,Telecom - Services,Telecom - Cellular & Fixed line services
Cipla,CIPLA,Pharmaceuticals & Biotechnology,Pharmaceuticals
ABans Enterprise,ABANSENT,Metals & Minerals Trading,Trading - Metals
Torrent Power,TORNTPOWER,Power,Integrated Power Utilities
KEC International,KEC,Construction,Civil Construction
Swiggy,SWIGGY,Retailing,E-Retail/ E-Commerce
APL Apollo Tubes,APLAPOLLO,Industrial Products,Iron & Steel Products
NCC,NCC,Construction,Civil Construction
Tube Investments,TIINDIA,Auto Components,Auto Components & Equipments
Gokul Agro,GOKULAGRO,Agricultural Food & other Products,Edible Oil
Eicher Motors,EICHERMOT,Automobiles,2/3 Wheelers
Maxgrow India,,Consumer Durables,"Gems, Jewellery And Watches"
Shree Cement,SHREECEM,Cement & Cement Products,Cement & Cement Products
Altius Telecom,,Telecom - Services,Telecom - Infrastructure
Coromandel Inter,COROMANDEL,Fertilizers & Agrochemicals,Fertilizers
R C F,RCF,Fertilizers & Agrochemicals,Fertilizers
Bosch,BOSCHLTD,Auto Components,Auto Components & Equipments
M & M Fin. Serv.,M&MFIN,Finance,Non Banking Financial Company (NBFC)
Apar Inds.,APARINDS,Electrical Equipment,Other Electrical Equipment
Tata Consumer,TATACONSUM,Agricultural Food & other Products,Tea & Coffee
Bandhan Bank,BANDHANBNK,Banks,Private Sector Bank
Uno Minda,UNOMINDA,Auto Components,Auto Components & Equipments
Shyam Metalics,SHYAMMETL,Industrial Products,Iron & Steel Products
NLC India,NLCINDIA,Power,Power Generation
Trent,TRENT,Retailing,Speciality Retail
AU Small Finance,AUBANK,Banks,Other Bank
Natl. Aluminium,NATIONALUM,Non - Ferrous Metals,Aluminium
SBI Cards,SBICARD,Finance,Non Banking Financial Company (NBFC)
Lloyds Metals,LLOYDSME,Minerals & Mining,Industrial Minerals
Voltas,VOLTAS,Consumer Durables,Household Appliances
The Bombay Burmah,BBTC,Food Products,Packaged Foods
L&T Finance Ltd,LTF,Finance,Non Banking Financial Company (NBFC)
HDB FINANC SER,HDBFS,Finance,Non Banking Financial Company (NBFC)
Exide Inds.,EXIDEIND,Auto Components,Auto Components & Equipments
Britannia Inds.,BRITANNIA,Food Products,Packaged Foods
Lodha Developers,LODHA,Realty,"Residential, Commercial Projects"
Paradeep Phosph.,PARADEEP,Fertilizers & Agrochemicals,Fertilizers
Rail Vikas,RVNL,Construction,Civil Construction
Star Health Insu,STARHEALTH,Insurance,General Insurance
Jindal Saw,JINDALSAW,Industrial Products,Iron & Steel Products
SRF,SRF,Chemicals & Petrochemicals,Commodity Chemicals
Bharat Forge,BHARATFORG,Auto Components,Auto Components & Equipments
Rain Industries,RAIN,Chemicals & Petrochemicals,Petrochemicals
Biocon,BIOCON,Pharmaceuticals & Biotechnology,Pharmaceuticals
JSW Energy,JSWENERGY,Power,Power Generation
Rashi Peripheral,RPTECH,IT - Hardware,Computers Hardware & Equipments
SIS,SIS,Other Consumer Services,Other Consumer Services
Coforge,COFORGE,IT - Software,Computers - Software & Consulting
Welspun Corp,WELCORP,Industrial Products,Iron & Steel Products
Reliance Infra.,RELINFRA,Power,Integrated Power Utilities
Dalmia BharatLtd,DALBHARAT,Cement & Cement Products,Cement & Cement Products
Mphasis,MPHASIS,IT - Software,Computers - Software & Consulting
Suzlon Energy,SUZLON,Electrical Equipment,Heavy Electrical Equipment
JK Tyre & Indust,JKTYRE,Auto Components,Tyres & Rubber Products
CEAT,CEATLTD,Auto Components,Tyres & Rubber Products
Indraprastha Gas,IGL,Gas,LPG/CNG/PNG/LNG Supplier
Amber Enterp.,AMBER,Consumer Durables,Household Appliances
CESC,CESC,Power,Integrated Power Utilities
Endurance Tech.,ENDURANCE,Auto Components,Auto Components & Equipments
Prestige Estates,PRESTIGE,Realty,"Residential, Commercial Projects"
Blue Star,BLUESTARCO,Consumer Durables,Household Appliances
SBI Life Insuran,SBILIFE,Insurance,Life Insurance
Persistent Systems,PERSISTENT,IT - Software,Computers - Software & Consulting
GMR Airports,GMRAIRPORT,Transport Infrastructure,Airport & Airport services
Glenmark Pharma.,GLENMARK,Pharmaceuticals & Biotechnology,Pharmaceuticals
Godrej Consumer,GODREJCP,Personal Products,Personal Care
PTC India,PTC,Power,Power Trading
Quess Corp,QUESS,Commercial Services & Supplies,Diversified Commercial Services
Guj.St.Petronet,GSPL,Gas,Gas Transmission/Marketing
Mazagon Dock,MAZDOCK,Industrial Manufacturing,Ship Building & Allied Services
Siemens,SIEMENS,Electrical Equipment,Heavy Electrical Equipment
Kama Holdings,KAMAHOLD,Finance,Holding Company
Alkem Lab,ALKEM,Pharmaceuticals & Biotechnology,Pharmaceuticals
RBL Bank,RBLBANK,Banks,Private Sector Bank
IIFL Finance,IIFL,Finance,Non Banking Financial Company (NBFC)
Gujarat Gas,GUJGASLTD,Gas,LPG/CNG/PNG/LNG Supplier
Hexaware Tech.,HEXT,IT - Software,Computers - Software & Consulting
Uflex,UFLEX,Industrial Products,Packaging
Pidilite Inds.,PIDILITIND,Chemicals & Petrochemicals,Specialty Chemicals
H U D C O,HUDCO,Finance,Financial Institution
P N Gadgil Jewe.,PNGJL,Consumer Durables,"Gems, Jewellery And Watches"
Meesho,MEESHO,Retailing,E-Retail/ E-Commerce
Supreme Inds.,SUPREMEIND,Industrial Products,Plastic Products - Industrial
PDS,PDSL,Textiles & Apparels,Trading - Textile Products
Adani Green,ADANIGREEN,Power,Power Generation
KEI Industries,KEI,Industrial Products,Cables - Electricals
J K Cements,JKCEMENT,Cement & Cement Products,Cement & Cement Products
Godrej Propert.,GODREJPROP,Realty,"Residential, Commercial Projects"
BASF India,BASF,Chemicals & Petrochemicals,Specialty Chemicals
Mankind Pharma,MANKIND,Pharmaceuticals & Biotechnology,Pharmaceuticals
CG Power & Ind,CGPOWER,Electrical Equipment,Heavy Electrical Equipment
Tata Chemicals,TATACHEM,Chemicals & Petrochemicals,Commodity Chemicals
Thermax,THERMAX,Electrical Equipment,Heavy Electrical Equipment
Piramal Finance.,PIRAMALFIN,Finance,Housing Finance Company
Amara Raja Ener.,ARE&M,Auto Components,Auto Components & Equipments
Motherson Wiring,MSUMI,Auto Components,Auto Components & Equipments
Marico,MARICO,Agricultural Food & other Products,Edible Oil
Nuvoco Vistas,NUVOCO,Cement & Cement Products,Cement & Cement Products
Torrent Pharma.,TORNTPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bharat Coking,BHARATCOAL,Consumable Fuels,Coal
J & K Bank,J&KBANK,Banks,Private Sector Bank
DCM Shriram,DCMSHRIRAM,Diversified,Diversified
Ircon Intl.,IRCON,Construction,Civil Construction
ICICI Pru Life,ICICIPRULI,Insurance,Life Insurance
A B B,ABB,Electrical Equipment,Heavy Electrical Equipment
Vishal Mega Mart,VMM,Retailing,Diversified Retail
Jain Resource,JAINREC,Diversified Metals,Diversified Metals
Cummins India,CUMMINSIND,Industrial Products,"Compressors, Pumps & Diesel Engines"
United Spirits,UNITDSPR,Beverages,Breweries & Distilleries
Solar Industries,SOLARINDS,Chemicals & Petrochemicals,Explosives
Dabur India,DABUR,Personal Products,Personal Care
Senco Gold,SENCO,Consumer Durables,"Gems, Jewellery And Watches"
Pun. & Sind Bank,PSB,Banks,Public Sector Bank
NBCC,NBCC,Construction,Civil Construction
NMDC Steel,NSLNISP,Ferrous Metals,Iron & Steel
Cemindia Project,CEMPRO,Construction,Civil Construction
Escorts Kubota,ESCORTS,"Agricultural, Commercial & Construction Vehicles",Tractors
R R Kabel,RRKABEL,Industrial Products,Cables - Electricals
Balkrishna Inds,BALKRISIND,Auto Components,Tyres & Rubber Products
RPSG Ventures,RPSGVENT,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Team Lease Serv.,TEAMLEASE,Commercial Services & Supplies,Diversified Commercial Services
L T Foods,LTFOODS,Agricultural Food & other Products,Other Agricultural Products
Karur Vysya Bank,KARURVYSYA,Banks,Private Sector Bank
Bajaj Housing,BAJAJHFL,Finance,Housing Finance Company
Berger Paints,BERGEPAINT,Consumer Durables,Paints
L&T Technology,LTTS,IT - Services,IT Enabled Services
Delhivery,DELHIVERY,Transport Services,Logistics Solution Provider
Thangamayil Jew.,THANGAMAYL,Consumer Durables,"Gems, Jewellery And Watches"
Birla Corpn.,BIRLACORPN,Cement & Cement Products,Cement & Cement Products
Deepak Fertilis.,DEEPAKFERT,Chemicals & Petrochemicals,Commodity Chemicals
NHPC Ltd,NHPC,Power,Power Generation
Chambal Fert.,CHAMBLFERT,Fertilizers & Agrochemicals,Fertilizers
Indian Hotels Co,INDHOTEL,Leisure Services,Hotels & Resorts
Piramal Pharma,PPLPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
TVS Supply,TVSSCS,Transport Services,Logistics Solution Provider
Go Digit General,GODIGIT,Insurance,General Insurance
Motil.Oswal.Fin.,MOTILALOFS,Capital Markets,Stockbroking & Allied
FSN E-Commerce,NYKAA,Retailing,E-Retail/ E-Commerce
G S F C,GSFC,Fertilizers & Agrochemicals,Fertilizers
Afcons Infrastr.,AFCONS,Construction,Civil Construction
Manappuram Fin.,MANAPPURAM,Finance,Non Banking Financial Company (NBFC)
CIE Automotive,CIEINDIA,Auto Components,Auto Components & Equipments
Divi's Lab.,DIVISLAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
Firstsour.Solu.,FSL,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Hatsun Agro,HATSUN,Food Products,Dairy Products
South Ind.Bank,SOUTHBANK,Banks,Private Sector Bank
Arvind Ltd,ARVIND,Textiles & Apparels,Garments & Apparels
Force Motors,FORCEMOT,Automobiles,Passenger Cars & Utility Vehicles
Sh.Renuka Sugar,RENUKA,Agricultural Food & other Products,Sugar
Sonata Software,SONATSOFTW,IT - Software,Computers - Software & Consulting
Lenskart Solut.,LENSKART,Retailing,Speciality Retail
Sundaram Finance,SUNDARMFIN,Finance,Non Banking Financial Company (NBFC)
Schaeffler India,SCHAEFFLER,Auto Components,Auto Components & Equipments
G R Infraproject,GRINFRA,Construction,Civil Construction
Jubilant Food.,JUBLFOOD,Leisure Services,Restaurants
Vardhman Textile,VTL,Textiles & Apparels,Other Textile Products
Emcure Pharma,EMCURE,Pharmaceuticals & Biotechnology,Pharmaceuticals
Religare Enterp.,RELIGARE,Finance,Investment Company
Welspun Living,WELSPUNLIV,Textiles & Apparels,Other Textile Products
Brainbees Solut.,FIRSTCRY,Retailing,E-Retail/ E-Commerce
Bharti Hexacom,BHARTIHEXA,Telecom - Services,Telecom - Cellular & Fixed line services
Siemens Ener.Ind,ENRIN,Electrical Equipment,Heavy Electrical Equipment
Ipca Labs.,IPCALAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
AvenuesAI,CCAVENUE,Financial Technology (Fintech),Financial Technology (Fintech)
Aditya Bir. Fas.,ABFRL,Retailing,Speciality Retail
Belrise Industri,BELRISE,Auto Components,Auto Components & Equipments
Godrej Agrovet,GODREJAGRO,Food Products,Animal Feed
Container Corpn.,CONCOR,Transport Services,Logistics Solution Provider
Dilip Buildcon,DBL,Construction,Civil Construction
Jubilant Pharmo,JUBLPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Varroc Engineer,VARROC,Auto Components,Auto Components & Equipments
Fortis Health.,FORTIS,Healthcare Services,Hospital
One 97,PAYTM,Financial Technology (Fintech),Financial Technology (Fintech)
Karnataka Bank,KTKBANK,Banks,Private Sector Bank
United Breweries,UBL,Beverages,Breweries & Distilleries
IndiGrid Trust,INDIGRID,Power,Power - Transmission
Brightcom Group,BCG,IT - Services,IT Enabled Services
Premier Energies,PREMIERENE,Electrical Equipment,Other Electrical Equipment
Craftsman Auto,CRAFTSMAN,Auto Components,Auto Components & Equipments
G N F C,GNFC,Chemicals & Petrochemicals,Commodity Chemicals
Aarti Industries,AARTIIND,Chemicals & Petrochemicals,Specialty Chemicals
PNB Housing,PNBHOUSING,Finance,Housing Finance Company
Whirlpool India,WHIRLPOOL,Consumer Durables,Household Appliances
A B Lifestyle,ABLBL,Retailing,Speciality Retail
Narayana Hrudaya,NH,Healthcare Services,Hospital
Max Healthcare,MAXHEALTH,Healthcare Services,Hospital
Niva Bupa Health,NIVABUPA,Insurance,General Insurance
Indian Renewable,IREDA,Finance,Financial Institution
Deepak Nitrite,DEEPAKNTR,Chemicals & Petrochemicals,Specialty Chemicals
Garden Reach Sh.,GRSE,Aerospace & Defense,Aerospace & Defense
Kirloskar Oil,KIRLOSENG,Industrial Products,"Compressors, Pumps & Diesel Engines"
Poonawalla Fin,POONAWALLA,Finance,Non Banking Financial Company (NBFC)
Power Mech Proj.,POWERMECH,Construction,Civil Construction
Prism Johnson,PRSMJOHNSN,Cement & Cement Products,Cement & Cement Products
The Ramco Cement,RAMCOCEM,Cement & Cement Products,Cement & Cement Products
Sudarshan Chem.,SUDARSCHEM,Chemicals & Petrochemicals,Dyes And Pigments
Astral,ASTRAL,Industrial Products,Plastic Products - Industrial
Crompton Gr. Con,CROMPTON,Consumer Durables,Household Appliances
Hitachi Energy,POWERINDIA,Electrical Equipment,Heavy Electrical Equipment
PCBL Chemical,PCBL,Chemicals & Petrochemicals,Carbon Black
Oracle Fin.Serv.,OFSS,IT - Software,Software Products
Sharda Cropchem,SHARDACROP,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
PB Fintech.,POLICYBZR,Financial Technology (Fintech),Financial Technology (Fintech)
HMA Agro Inds.,HMAAGRO,Food Products,Meat Products including Poultry
Mahanagar Gas,MGL,Gas,LPG/CNG/PNG/LNG Supplier
Zee Entertainmen,ZEEL,Entertainment,TV Broadcasting & Software Production
Sagility,SAGILITY,IT - Services,IT Enabled Services
RattanIndia Ent,RTNINDIA,Retailing,E-Retail/ E-Commerce
GMR Urban,GMRP&UI,Power,Power Generation
Shankara Buildpro,BUILDPRO,Retailing,Speciality Retail
Sobha,SOBHA,Realty,"Residential, Commercial Projects"
Jayaswal Neco,JAYNECOIND,Industrial Products,Iron & Steel Products
JK Paper,JKPAPER,"Paper, Forest & Jute Products",Paper & Paper Products
Ashoka Buildcon,ASHOKA,Construction,Civil Construction
Kansai Nerolac,KANSAINER,Consumer Durables,Paints
Sterling & Wils.,SWSOLAR,Construction,Civil Construction
Surya Roshni,SURYAROSNI,Industrial Products,Iron & Steel Products
IRB Infra.Devl.,IRB,Construction,Civil Construction
Cyient,CYIENT,IT - Services,IT Enabled Services
Edelweiss.Fin.,EDELWEISS,Finance,Holding Company
Electronics Mart,EMIL,Retailing,Diversified Retail
DCB Bank,DCBBANK,Banks,Private Sector Bank
JK Lakshmi Cem.,JKLAKSHMI,Cement & Cement Products,Cement & Cement Products
JSW Cement,JSWCEMENT,Cement & Cement Products,Cement & Cement Products
Reliance Power,RPOWER,Power,Power Generation
Ujjivan Small,UJJIVANSFB,Banks,Other Bank
Medplus Health,MEDPLUS,Retailing,Pharmacy Retail
City Union Bank,CUB,Banks,Private Sector Bank
SPARC,SPARC,Pharmaceuticals & Biotechnology,Pharmaceuticals
JBM Auto,JBMA,Auto Components,Auto Components & Equipments
Alembic Pharma,APLLTD,Pharmaceuticals & Biotechnology,Pharmaceuticals
Equitas Sma. Fin,EQUITASBNK,Banks,Other Bank
Kirloskar Indus.,KIRLOSIND,Industrial Products,Other Industrial Products
HFCL,HFCL,Telecom - Services,Telecom - Infrastructure
Jain Irrigation,JISLJALEQS,Industrial Products,Plastic Products - Industrial
SG Mart,SGMART,Metals & Minerals Trading,Trading - Metals
DLF,DLF,Realty,"Residential, Commercial Projects"
Laurus Labs,LAURUSLABS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Transrail Light,TRANSRAILL,Electrical Equipment,Heavy Electrical Equipment
Mahindra Logis.,MAHLOG,Transport Services,Logistics Solution Provider
Godfrey Phillips,GODFRYPHLP,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Popular Vehicles,PVSL,Automobiles,Auto Dealer
K P R Mill Ltd,KPRMILL,Textiles & Apparels,Other Textile Products
Kirl. Ferrous,KIRLFER,Ferrous Metals,Pig Iron
Raymond Lifestyl,RAYMONDLSL,Textiles & Apparels,Other Textile Products
Thomas Cook (I),THOMASCOOK,Leisure Services,"Tour, Travel Related Services"
Sky Gold & Diam.,SKYGOLD,Consumer Durables,"Gems, Jewellery And Watches"
Oberoi Realty,OBEROIRLTY,Realty,"Residential, Commercial Projects"
Gland Pharma,GLAND,Pharmaceuticals & Biotechnology,Pharmaceuticals
Elitecon Inter.,ELITECON,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Emmvee Photovol.,EMMVEE,Electrical Equipment,Other Electrical Equipment
ISGEC Heavy,ISGEC,Construction,Civil Construction
Aegis Logistics,AEGISLOG,Gas,Trading - Gas
KPIT Technologi.,KPITTECH,IT - Software,Computers - Software & Consulting
Abbott India,ABBOTINDIA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Entero Healthcar,ENTERO,Retailing,Pharmacy Retail
Kalpat.,KALPATARU,Realty,"Residential, Commercial Projects"
Sundram Fasten.,SUNDRMFAST,Auto Components,Auto Components & Equipments
V-Guard Industri,VGUARD,Consumer Durables,Household Appliances
Polyplex Corpn,POLYPLEX,Industrial Products,Packaging
Atul,ATUL,Chemicals & Petrochemicals,Specialty Chemicals
Railtel Corpn.,RAILTEL,Telecom - Services,Other Telecom Services
Skipper,SKIPPER,Electrical Equipment,Heavy Electrical Equipment
Black Box,BBOX,IT - Services,IT Enabled Services
Sunlite Recycli.,SUNLITE,Industrial Products,"Aluminium, Copper & Zinc Products"
GE Vernova T&D,GVT&D,Electrical Equipment,Heavy Electrical Equipment
Trident,TRIDENT,Textiles & Apparels,Other Textile Products
PNC Infratech,PNCINFRA,Construction,Civil Construction
Godawari Power,GPIL,Industrial Products,Iron & Steel Products
Rane Holdings,RANEHOLDIN,Finance,Holding Company
Saatvik Green,SAATVIKGL,Electrical Equipment,Other Electrical Equipment
Balrampur Chini,BALRAMCHIN,Agricultural Food & other Products,Sugar
Finolex Cables,FINCABLES,Industrial Products,Cables - Electricals
CreditAcc. Gram.,CREDITACC,Finance,Microfinance Institutions
Keystone Realtor,RUSTOMJEE,Realty,"Residential, Commercial Projects"
Supreme Petroch.,SPLPETRO,Chemicals & Petrochemicals,Petrochemicals
J Kumar Infra,JKIL,Construction,Civil Construction
Tata Technolog.,TATATECH,IT - Services,IT Enabled Services
F A C T,FACT,Fertilizers & Agrochemicals,Fertilizers
P I Industries,PIIND,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Time Technoplast,TIMETECHNO,Industrial Products,Plastic Products - Industrial
Wheels India,WHEELS,Auto Components,Auto Components & Equipments
BSE,BSE,Capital Markets,Exchange and Data Platform
Minda Corp,MINDACORP,Auto Components,Auto Components & Equipments
T N Merc. Bank,TMB,Banks,Private Sector Bank
Adani Total Gas,ATGL,Gas,LPG/CNG/PNG/LNG Supplier
PVR Inox,PVRINOX,Entertainment,"Film Production, Distribution & Exhibition"
Castrol India,CASTROLIND,Petroleum Products,Lubricants
Genus Power,GENUSPOWER,Electrical Equipment,Other Electrical Equipment
Blue Dart Expres,BLUEDART,Transport Services,Logistics Solution Provider
KRBL,KRBL,Agricultural Food & other Products,Other Agricultural Products
JSW Infrast,JSWINFRA,Transport Infrastructure,Port & Port services
ICICI AMC,ICICIAMC,Capital Markets,Asset Management Company
S C I,SCI,Transport Services,Shipping
GE Shipping Co,GESHIP,Transport Services,Shipping
Sandur Manganese,SANDUMA,Consumable Fuels,Coal
Billionbrains,GROWW,Capital Markets,Stockbroking & Allied
Radico Khaitan,RADICO,Beverages,Breweries & Distilleries
Shiv Texchem,,Chemicals & Petrochemicals,Trading - Chemicals
Puravankara,PURVA,Realty,"Residential, Commercial Projects"
SJVN,SJVN,Power,Power Generation
